customer_summary;;;order_enriched;;order_base;;customer_value_segments;;;rfm_scores;;customer_segments
;;;;;;;;;;;;
customerkey;;;orderkey;;orderkey;;customerkey;;;customerkey;;customerkey
customer_country;;;orderdate;;orderdate;;lifetime_revenue;;;recency_days;;recency_score
gender;;;deliverydate;;deliverydate;;lifetime_profit;;;order_count;;frequency_score
occupation;;;customerkey;;customerkey;;order_count;;;lifetime_revenue;;monetary_score
first_purchase_date;;;storekey;;storekey;;value_segment;;;recency_score;;rfm_total_score
last_purchase_date;;;line_count;;line_count;;;;;frequency_score;;value_segment
customer_lifespan_days;;;distinct_products;;distinct_products;;;;;monetary_score;;combined_segment
order_count;;;total_units;;total_units;;;;;rfm_score;;
total_units;;;order_revenue;;order_revenue;;;;;rfm_total_score;;
lifetime_revenue;;;order_cost;;order_cost;;;;;;;
lifetime_cost;;;order_profit;;order_profit;;;;;;;
lifetime_profit;;;order_profit_margin;;order_profit_margin;;;;;;;
avg_order_value;;;delivery_days;;delivery_days;;;;;;;
avg_order_profit;;;customer_country;;;;;;;;;
profit_margin;;;gender;;;;;;;;;
recency_days;;;birthday;;;;;;;;;
cohort_month;;;age_at_order;;;;;;;;;
cohort_year;;;occupation;;;;;;;;;
age_at_first_purchase;;;customer_name;;;;;;;;;
;;;store_country;;;;;;;;;
;;;store_state;;;;;;;;;
;;;store_status;;;;;;;;;
;;;squaremeters;;;;;;;;;
